Census Tract,FIPS,Area (Land),Area (Water),Total Population,Population Density (Per Sq. Mile),Area (Land),Area Total:,Area Total: Area (Land),Area Total: Area (Water),Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population,Total Population: Not Hispanic or Latino,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied,Owner Occupied Housing Units,"Owner Occupied Housing Units: White Alone, Not Hispanic or Latino Homeowners ",Owner Occupied Housing Units: Non-White Homeowners,Renter-Occupied Housing Units,Renter-Occupied Housing Units: White Alone Householder,Renter-Occupied Housing Units: Black or African American Alone Householder,Renter-Occupied Housing Units: American Indian and Alaska Native Alone Householder,Renter-Occupied Housing Units: Asian Alone Householder,Renter-Occupied Housing Units: Native Hawaiian and Other Pacific Islander Alone Householder,Renter-Occupied Housing Units: Some Other Race Alone Householder,Renter-Occupied Housing Units: Two or More Races Householder,"Renter-Occupied Housing Units: White Alone, Not Hispanic or Latino Householder",Renter-Occupied Housing Units: Hispanic or Latino Householder
216301,06037216301,563878,0,1439,6609.573,0.217714522,0.2177145,0.2177145,0,1439,1088,39,0,68,0,0,244,1439,1324,1065,39,0,68,0,0,152,115,598,435,163,435,332,103,163,101,0,0,0,0,0,62,101,7
216302,06037216302,708984,0,3214,11741.06,0.273740264,0.2737403,0.2737403,0,3214,1851,341,10,330,0,347,335,3214,2595,1674,341,0,330,0,32,218,619,1727,326,1401,326,212,114,1401,793,146,0,213,0,122,127,713,207
216401,06037216401,411515,0,3295,20738.03,0.158886837,0.1588868,0.1588868,0,3295,2238,129,0,333,30,85,480,3295,2938,2103,129,0,333,30,19,324,357,1625,126,1499,126,75,51,1499,1018,39,0,168,0,19,255,931,243
216402,06037216402,229443,0,2404,27136.72,0.088588441,0.08858844,0.08858844,0,2404,1703,70,23,140,0,70,398,2404,1990,1598,70,23,140,0,0,159,414,1214,163,1051,163,95,68,1051,688,67,23,72,0,49,152,658,135
216700,06037216700,777948,0,3440,11452.64,0.300367415,0.3003674,0.3003674,0,3440,1563,930,21,301,0,348,277,3440,2828,1411,911,0,301,0,81,124,612,1614,585,1029,585,304,281,1029,431,299,21,49,0,97,132,319,272
216800,06037216800,739832,0,3324,11636.59,0.285650744,0.2856507,0.2856507,0,3324,2015,281,9,270,13,238,498,3324,2597,1819,271,9,270,0,56,172,727,1413,453,960,453,322,131,960,559,127,0,68,0,89,117,436,271
216901,06037216901,703173,0,2687,9896.992,0.271496625,0.2714966,0.2714966,0,2687,1025,1179,12,110,9,8,344,2687,2401,814,1179,0,81,9,0,318,286,1289,750,539,750,269,481,539,227,207,12,14,0,0,79,208,31
216902,06037216902,391386,0,2227,14737.12,0.151114986,0.151115,0.151115,0,2227,1003,243,18,82,0,416,465,2227,1638,791,243,18,82,0,71,433,589,1187,188,999,188,81,107,999,547,116,0,28,0,156,152,432,212
217001,06037217001,548535,0,2647,12498.2,0.211790557,0.2117906,0.2117906,0,2647,2125,33,0,54,0,209,226,2647,2229,1985,33,0,45,0,23,143,418,972,388,584,388,344,44,584,464,20,0,9,0,0,91,454,34
217002,06037217002,771339,0,4859,16315.46,0.297815666,0.2978157,0.2978157,0,4859,3763,285,7,297,0,173,334,4859,4439,3589,285,0,297,0,95,173,420,1904,391,1513,391,351,40,1513,1119,192,0,110,0,46,46,1053,93
217101,06037217101,395918,0,2518,16472.07,0.152864801,0.1528648,0.1528648,0,2518,739,265,3,108,0,474,929,2518,838,460,265,0,78,0,0,35,1680,890,130,760,130,102,28,760,245,150,3,28,0,112,222,199,361
217102,06037217102,501915,0,2667,13762.29,0.193790473,0.1937905,0.1937905,0,2667,1086,832,0,205,0,213,331,2667,2234,981,817,0,205,0,0,231,433,1232,347,885,347,176,171,885,356,317,0,89,0,84,39,356,99
217200,06037217200,919065,0,3839,10818.56,0.354852995,0.354853,0.354853,0,3839,1148,1026,0,311,20,873,461,3839,2441,887,1009,0,311,20,111,103,1398,1686,430,1256,430,154,276,1256,483,361,0,123,0,202,87,419,313
218110,06037218110,598606,0,3521,15234.31,0.231123079,0.2311231,0.2311231,0,3521,779,869,34,382,0,1216,241,3521,1705,387,854,21,382,0,22,39,1816,1247,269,978,269,27,242,978,210,319,3,126,0,274,46,109,424
218120,06037218120,445213,0,3684,21431.35,0.171897708,0.1718977,0.1718977,0,3684,1049,509,0,467,127,1113,419,3684,1192,118,502,0,467,49,0,56,2492,1284,266,1018,266,0,266,1018,267,260,0,102,0,271,118,84,559
218210,06037218210,388481,0,4090,27267.87,0.149993359,0.1499934,0.1499934,0,4090,1283,369,106,127,0,1551,654,4090,1031,487,369,0,122,0,42,11,3059,1222,199,1023,199,74,125,1023,252,206,26,39,0,348,152,81,684
218220,06037218220,672776,0,3858,14852.16,0.259760277,0.2597603,0.2597603,0,3858,1422,947,37,394,39,642,377,3858,2123,649,942,0,394,0,0,138,1735,1461,483,978,483,129,354,978,293,430,8,108,10,107,22,167,273
218300,06037218300,891391,9418,4933,14333.12,0.344168004,0.3478043,0.344168,0.00363631,4933,1857,1350,20,331,0,963,412,4933,2763,985,1146,20,311,0,163,138,2170,2166,535,1631,535,45,490,1631,476,604,0,80,0,244,227,397,479
218400,06037218400,656666,0,4079,16088.18,0.253540171,0.2535402,0.2535402,0,4079,1393,510,23,217,0,1332,604,4079,1376,524,510,0,217,0,0,125,2703,1331,504,827,504,40,464,827,320,117,0,19,0,211,160,183,481
218500,06037218500,523255,0,2784,13780.14,0.202029894,0.2020299,0.2020299,0,2784,827,637,23,73,0,677,547,2784,1248,305,630,0,73,0,85,155,1536,970,233,737,233,29,204,737,213,246,6,18,0,120,134,107,321
218600,06037218600,430627,0,3102,18656.85,0.166266021,0.166266,0.166266,0,3102,1050,494,0,393,0,563,602,3102,1669,522,494,0,393,0,27,233,1433,1103,361,742,361,58,303,742,297,120,0,34,0,96,195,150,290
218701,06037218701,549903,0,2079,9791.882,0.212318744,0.2123187,0.2123187,0,2079,518,684,3,113,11,480,270,2079,967,130,684,0,113,0,9,31,1112,838,331,507,331,33,298,507,119,206,0,18,0,144,20,24,241
218702,06037218702,359671,0,2627,18917.01,0.138869755,0.1388698,0.1388698,0,2627,488,585,0,108,0,949,497,2627,891,144,585,0,108,0,0,54,1736,848,210,638,210,31,179,638,137,168,0,35,0,189,109,27,399
218800,06037218800,411643,0,2664,16761.44,0.158936258,0.1589363,0.1589363,0,2664,456,604,0,432,0,669,503,2664,1296,155,585,0,418,0,0,138,1368,961,215,746,215,7,208,746,142,265,0,114,0,169,56,74,271
218900,06037218900,703403,0,5229,19253.61,0.271585428,0.2715854,0.2715854,0,5229,1320,1845,14,372,0,1152,526,5229,2729,350,1812,0,348,0,15,204,2500,2149,298,1851,298,0,298,1851,410,781,11,192,0,348,109,111,723
219010,06037219010,440857,0,3023,17759.8,0.170215847,0.1702158,0.1702158,0,3023,841,896,5,10,0,651,620,3023,1448,380,844,5,10,0,7,202,1575,1018,480,538,480,63,417,538,142,184,0,0,0,134,78,38,298
219020,06037219020,726495,0,4625,16488.34,0.2805013,0.2805013,0.2805013,0,4625,1298,841,18,90,0,1420,958,4625,1466,491,801,0,90,0,0,84,3159,1250,756,494,756,123,633,494,132,144,0,21,0,105,92,66,273
219300,06037219300,651811,0,3664,14559,0.251665645,0.2516657,0.2516657,0,3664,1189,558,27,190,0,994,706,3664,1217,368,548,0,190,0,20,91,2447,1400,319,1081,319,58,261,1081,297,281,13,28,0,257,205,154,563
219500,06037219500,557587,0,2053,9536.172,0.215285553,0.2152856,0.2152856,0,2053,405,916,0,315,0,257,160,2053,1588,234,916,0,315,0,82,41,465,820,557,263,557,86,471,263,79,111,0,41,0,32,0,39,40
219700,06037219700,1092488,0,4479,10618.47,0.421811993,0.421812,0.421812,0,4479,1709,1027,42,85,0,914,702,4479,1416,265,1004,0,85,0,17,45,3063,1330,716,614,716,43,673,614,236,238,8,0,0,57,75,43,325
219800,06037219800,446134,0,3048,17694.87,0.172253308,0.1722533,0.1722533,0,3048,1256,468,0,20,0,748,556,3048,748,293,348,0,20,0,22,65,2300,957,304,653,304,42,262,653,256,156,0,15,0,126,100,110,383
219901,06037219901,524891,0,4944,24395.35,0.202661557,0.2026616,0.2026616,0,4944,1570,590,0,86,0,1507,1191,4944,968,262,580,0,86,0,24,16,3976,1535,356,1179,356,61,295,1179,350,256,0,58,0,288,227,99,776
219902,06037219902,798150,2669,3514,11402.89,0.308167451,0.309198,0.3081675,0.001030507,3514,1298,486,0,78,8,1243,401,3514,1051,385,486,0,78,8,0,94,2463,1173,474,699,474,37,437,699,267,140,0,18,8,177,89,158,333
220000,06037220000,971788,0,4460,11886.69,0.37520946,0.3752095,0.3752095,0,4460,1092,1861,10,234,26,639,598,4460,2663,395,1790,10,234,26,0,208,1797,2174,622,1552,622,110,512,1552,501,690,0,83,0,194,84,205,537
220100,06037220100,979773,1590,2583,6828.05,0.378292486,0.3789064,0.3782925,0.000613903,2583,699,1280,0,157,0,148,299,2583,1658,162,1239,0,110,0,0,147,925,1108,566,542,566,26,540,542,146,269,0,47,0,49,31,61,206
221110,06037221110,234230,0,3161,34952.62,0.090436712,0.09043671,0.09043671,0,3161,1058,49,9,319,33,758,935,3161,555,165,49,0,319,22,0,0,2606,1041,148,893,148,0,148,893,265,26,9,141,0,227,225,19,707
221120,06037221120,317503,0,2922,23835.82,0.122588599,0.1225886,0.1225886,0,2922,715,23,9,174,0,1754,247,2922,226,24,23,0,174,0,0,5,2696,775,91,684,91,0,91,684,141,19,2,60,0,382,80,0,605
221210,06037221210,358791,0,3095,22341.73,0.138529985,0.13853,0.13853,0,3095,944,149,17,267,0,1011,707,3095,700,247,149,0,238,0,10,56,2395,868,247,621,247,31,216,621,174,5,0,39,0,248,155,57,498
221220,06037221220,659399,0,2979,11700.92,0.254595388,0.2545954,0.2545954,0,2979,653,15,58,258,0,1412,583,2979,400,119,15,0,252,0,0,14,2579,924,189,735,189,7,182,735,189,7,19,75,0,322,123,57,588
221302,06037221302,462145,0,3681,20629.34,0.17843519,0.1784352,0.1784352,0,3681,1103,424,43,182,76,1576,277,3681,918,184,424,0,182,76,0,52,2763,1160,114,1046,114,27,87,1046,323,221,12,69,16,312,93,42,683
221303,06037221303,233968,0,2611,28903.35,0.090335554,0.09033556,0.09033556,0,2611,720,157,81,156,0,1240,257,2611,504,214,157,0,121,0,0,12,2107,725,80,645,80,49,31,645,124,61,25,48,0,315,72,6,542
221304,06037221304,227251,0,3674,41872.71,0.087742105,0.08774211,0.08774211,0,3674,322,678,11,725,0,1468,470,3674,1538,113,678,0,725,0,12,10,2136,1157,111,1046,111,0,111,1046,109,268,4,201,0,324,140,52,503
221401,06037221401,542311,0,3341,15956.07,0.209387457,0.2093875,0.2093875,0,3341,932,1309,15,361,0,361,363,3341,2091,287,1304,0,350,0,18,132,1250,1182,150,1032,150,34,116,1032,147,502,7,147,0,129,100,41,292
221402,06037221402,532313,0,3063,14903.14,0.205527207,0.2055272,0.2055272,0,3063,697,584,32,601,0,972,177,3063,1581,291,574,9,601,0,18,88,1482,935,252,683,252,34,218,683,128,122,20,191,0,193,29,52,313
221500,06037221500,380722,0,3513,23898.35,0.146997592,0.1469976,0.1469976,0,3513,1035,528,9,174,49,1611,107,3513,1162,389,528,9,174,49,1,12,2351,1089,227,862,227,65,162,862,189,242,9,73,0,319,30,66,472
221601,06037221601,369898,0,3354,23484.37,0.142818422,0.1428184,0.1428184,0,3354,834,335,79,158,0,1187,761,3354,724,171,328,0,158,0,0,67,2630,990,202,788,202,20,182,788,197,85,24,36,0,266,180,28,646
221602,06037221602,522794,0,2455,12162.38,0.2018519,0.2018519,0.2018519,0,2455,772,159,27,173,0,978,346,2455,433,87,159,0,160,0,0,27,2022,864,72,792,72,5,67,792,270,101,7,51,0,284,79,28,610
221710,06037221710,327983,0,2890,22821.5,0.12663495,0.126635,0.126635,0,2890,776,67,0,451,0,1094,502,2890,778,254,61,0,438,0,0,25,2112,921,137,784,137,14,123,784,248,59,0,129,0,247,101,98,500
221810,06037221810,304336,0,2679,22799.07,0.117504792,0.1175048,0.1175048,0,2679,741,78,0,693,25,628,514,2679,1447,421,78,0,687,25,0,236,1232,907,44,863,44,0,44,863,210,37,0,288,11,160,157,137,319
221820,06037221820,204263,0,2335,29607.04,0.078866389,0.07886638,0.07886638,0,2335,1024,121,12,746,0,265,167,2335,1658,765,120,12,737,0,0,24,677,967,56,911,56,36,20,911,414,98,12,260,0,100,27,281,243
221900,06037221900,410027,0,4281,27041.48,0.158312317,0.1583123,0.1583123,0,4281,1757,414,75,1110,0,478,447,4281,3131,1377,414,0,1102,0,0,238,1150,948,59,889,59,0,59,889,266,80,17,328,0,60,138,210,203
222001,06037222001,474298,0,3139,17141.06,0.183127489,0.1831275,0.1831275,0,3139,986,648,15,189,0,858,443,3139,1087,227,636,1,157,0,5,61,2052,950,512,438,512,58,454,438,136,136,0,0,0,46,120,35,250
222002,06037222002,655705,0,5172,20429.03,0.253169127,0.2531691,0.2531691,0,5172,1881,824,0,87,0,2133,247,5172,1335,346,824,0,87,0,9,69,3837,1409,600,809,600,89,511,809,187,222,0,18,0,368,14,45,515
222100,06037222100,478935,0,4058,21944.88,0.184917845,0.1849179,0.1849179,0,4058,1182,700,0,398,0,1319,459,4058,1375,227,512,0,398,0,119,119,2683,1175,370,805,370,34,336,805,213,102,0,41,0,282,167,25,595
222200,06037222200,481869,0,3895,20935.16,0.186050669,0.1860507,0.1860507,0,3895,1161,598,19,115,0,1457,545,3895,1089,266,539,0,50,0,144,90,2806,1291,254,1037,254,67,187,1037,250,262,6,41,0,401,77,75,638
222500,06037222500,652465,0,4616,18323.41,0.251918156,0.2519182,0.2519182,0,4616,1179,1323,135,96,28,1568,287,4616,1716,173,1278,0,96,28,76,65,2900,1177,440,737,440,13,427,737,189,205,18,0,0,190,135,67,466
222600,06037222600,651938,0,5668,22517.56,0.25171468,0.2517147,0.2517147,0,5668,1530,850,46,1361,0,1564,317,5668,3006,595,770,0,1361,0,111,169,2662,1679,260,1419,260,35,225,1419,384,250,21,318,0,337,109,184,560
222700,06037222700,821876,0,4094,12901.47,0.317328111,0.3173281,0.3173281,0,4094,1723,403,22,1179,0,364,403,4094,3383,1495,390,17,1179,0,7,295,711,151,0,151,0,0,0,151,66,0,0,71,0,6,8,36,44
224010,06037224010,830399,0,3137,9784.203,0.32061886,0.3206189,0.3206189,0,3137,849,639,99,385,0,753,412,3137,1406,377,528,0,385,0,34,82,1731,1710,0,1710,0,0,0,1710,497,466,28,223,0,268,228,320,639
224020,06037224020,1232331,0,2633,5533.771,0.475805679,0.4758057,0.4758057,0,2633,752,223,45,41,0,1159,413,2633,611,124,192,10,41,0,0,244,2022,914,25,889,25,0,25,889,228,169,22,11,0,384,75,94,613
224200,06037224200,368196,0,2429,17086.23,0.142161276,0.1421613,0.1421613,0,2429,828,36,172,50,0,1138,205,2429,196,55,17,5,50,0,39,30,2233,750,60,690,60,9,51,690,189,33,62,0,0,321,85,19,640
224310,06037224310,180792,0,1964,28135.85,0.069804184,0.06980418,0.06980418,0,1964,939,56,0,123,0,737,109,1964,357,150,56,0,123,0,0,28,1607,584,31,553,31,15,16,553,136,14,0,49,0,281,73,27,435
224320,06037224320,290769,0,3300,29394.33,0.112266543,0.1122665,0.1122665,0,3300,883,111,16,178,0,2016,96,3300,284,6,84,16,178,0,0,0,3016,1107,22,1085,22,0,22,1085,248,60,16,93,0,638,30,0,916
224410,06037224410,453271,0,3029,17307.69,0.175008919,0.1750089,0.1750089,0,3029,1150,311,26,272,0,968,302,3029,1279,587,303,0,266,0,18,105,1750,1109,205,904,205,0,205,904,240,138,0,146,0,249,131,161,390
224420,06037224420,358656,0,2449,17685.14,0.138477862,0.1384779,0.1384779,0,2449,1006,141,50,138,0,508,606,2449,473,177,127,11,138,0,0,20,1976,878,56,822,56,11,45,822,242,76,19,19,0,164,302,34,707
224600,06037224600,718926,0,3037,10941.03,0.277578892,0.2775789,0.2775789,0,3037,467,239,116,81,13,1393,728,3037,384,135,196,0,53,0,0,0,2653,772,104,668,104,0,104,668,93,81,28,16,13,292,145,6,565
224701,06037224701,235489,0,2613,28738.66,0.090922815,0.09092282,0.09092282,0,2613,1003,169,49,901,5,174,312,2613,2082,827,150,0,892,5,0,208,531,333,4,329,4,4,0,329,126,8,0,140,0,8,47,126,25
224702,06037224702,395566,0,2646,17324.82,0.152728893,0.1527289,0.1527289,0,2646,1078,71,30,1106,0,136,225,2646,2236,929,62,6,1106,0,6,127,410,714,0,714,0,0,0,714,281,18,0,317,0,28,70,226,88
226001,06037226001,1034764,0,2188,5476.508,0.399524631,0.3995246,0.3995246,0,2188,471,291,71,17,0,599,739,2188,335,17,291,10,17,0,0,0,1853,577,72,505,72,0,72,505,119,98,15,5,0,126,142,6,396
226002,06037226002,2568345,0,1960,1976.517,0.991643591,0.9916436,0.9916436,0,1960,550,272,6,235,0,720,177,1960,1113,485,270,0,226,0,5,127,847,1194,134,1060,134,73,61,1060,291,237,6,119,0,269,138,258,356
226410,06037226410,282483,0,3579,32814.6,0.109067301,0.1090673,0.1090673,0,3579,926,34,172,0,5,1920,522,3579,49,0,34,0,0,5,6,4,3530,843,107,736,107,0,107,736,186,12,23,0,0,357,158,0,718
226420,06037226420,426940,0,5306,32188.31,0.164842463,0.1648425,0.1648425,0,5306,994,213,23,237,37,2895,907,5306,509,22,213,0,237,37,0,0,4797,1303,252,1051,252,0,252,1051,237,78,0,76,37,453,170,0,860
226701,06037226701,376108,0,2846,19598.38,0.145216117,0.1452161,0.1452161,0,2846,424,65,196,0,0,1261,900,2846,28,0,28,0,0,0,0,0,2818,622,208,414,208,0,208,414,63,19,59,0,0,201,72,0,395
226702,06037226702,406619,0,4285,27293.61,0.15699648,0.1569965,0.1569965,0,4285,927,93,11,0,0,2051,1203,4285,124,38,75,11,0,0,0,0,4161,872,326,546,326,0,326,546,149,28,11,0,0,230,128,0,507
227010,06037227010,579198,0,4550,20346.14,0.223629608,0.2236296,0.2236296,0,4550,1213,279,0,0,0,2417,641,4550,232,56,176,0,0,0,0,0,4318,1092,197,895,197,0,197,895,191,75,0,0,0,504,125,39,781
227020,06037227020,440119,0,3529,20767.26,0.169930903,0.1699309,0.1699309,0,3529,608,2,186,4,0,2185,544,3529,13,7,2,0,4,0,0,0,3516,766,215,551,215,0,215,551,104,0,0,0,0,339,108,0,551
228100,06037228100,1003328,0,5158,13314.85,0.387387123,0.3873871,0.3873871,0,5158,2348,14,0,33,0,2327,436,5158,410,279,14,0,33,0,47,37,4748,1182,498,684,498,0,498,684,249,14,0,0,0,323,98,0,670
228210,06037228210,411032,0,4119,25954.57,0.158700349,0.1587003,0.1587003,0,4119,974,265,190,78,0,2147,465,4119,432,0,265,0,78,0,15,74,3687,1001,309,692,309,0,309,692,92,147,31,34,0,318,70,0,473
228220,06037228220,366214,0,4584,32419.58,0.141396022,0.141396,0.141396,0,4584,829,249,60,27,0,2334,1085,4584,406,46,245,8,27,0,8,72,4178,973,277,696,277,0,277,696,83,97,11,0,0,336,169,0,592
228310,06037228310,546319,0,4506,21362.04,0.210934954,0.210935,0.210935,0,4506,1265,164,91,1,0,2120,865,4506,211,46,164,0,1,0,0,0,4295,1085,263,822,263,0,263,822,188,54,0,0,0,457,123,18,750
228320,06037228320,337041,0,3351,25750.72,0.130132263,0.1301323,0.1301323,0,3351,1014,121,4,0,0,1883,329,3351,128,7,121,0,0,0,0,0,3223,740,124,616,124,7,117,616,186,39,0,0,0,328,63,0,577
228410,06037228410,277715,0,3372,31447.49,0.107226366,0.1072264,0.1072264,0,3372,602,93,56,52,20,2092,457,3372,250,10,93,0,52,20,0,75,3122,716,125,591,125,0,125,591,110,24,7,15,0,364,71,10,542
228420,06037228420,277393,0,3165,29551.26,0.107102041,0.107102,0.107102,0,3165,580,73,196,0,0,1912,404,3165,78,0,73,0,0,0,0,5,3087,667,164,503,164,0,164,503,82,51,49,0,0,279,42,0,452
228500,06037228500,448896,0,5069,29246.53,0.173319722,0.1733197,0.1733197,0,5069,1266,1023,48,9,189,1692,842,5069,1049,18,1023,8,0,0,0,0,4020,1157,277,880,277,0,277,880,219,224,18,0,0,242,177,0,648
228600,06037228600,526963,0,5006,24604.16,0.20346156,0.2034616,0.2034616,0,5006,694,212,13,0,0,3533,554,5006,222,21,151,0,0,0,0,50,4784,1079,281,798,281,0,281,798,58,80,0,0,0,541,119,8,721
228710,06037228710,404789,0,4147,26534.02,0.156289913,0.1562899,0.1562899,0,4147,912,218,58,17,0,2306,636,4147,344,61,218,4,17,0,0,44,3803,1045,328,717,328,0,328,717,150,47,17,17,0,344,142,12,641
228720,06037228720,404152,0,4800,30760.56,0.156043966,0.156044,0.156044,0,4800,1277,494,33,0,21,2197,778,4800,513,13,490,0,0,7,3,0,4287,1126,351,775,351,0,351,775,162,144,0,0,0,308,161,0,631
228800,06037228800,844484,0,5347,16398.97,0.326057109,0.3260571,0.3260571,0,5347,1606,422,170,129,0,2276,744,5347,551,0,422,0,129,0,0,0,4796,1278,475,803,475,0,475,803,194,142,31,14,0,295,127,0,647
228900,06037228900,515517,0,2967,14906.38,0.199042235,0.1990422,0.1990422,0,2967,682,230,197,0,0,1438,420,2967,297,5,218,0,0,0,50,24,2670,874,145,729,145,0,145,729,233,125,32,0,0,266,73,5,549
229100,06037229100,475049,0,4635,25270.22,0.183417452,0.1834175,0.1834175,0,4635,1430,643,61,0,0,1881,620,4635,780,47,624,0,0,0,99,10,3855,1097,468,629,468,0,468,629,147,113,12,0,0,292,65,0,480
229200,06037229200,445674,0,4427,25727.05,0.172075701,0.1720757,0.1720757,0,4427,879,470,0,57,0,1976,1045,4427,611,27,455,0,57,0,0,72,3816,1204,187,1017,187,27,160,1017,165,225,0,57,0,327,243,0,700
229300,06037229300,502416,515,5973,30791.21,0.19398391,0.1941828,0.1939839,0.000198843,5973,2032,166,62,30,15,2562,1106,5973,518,217,148,25,30,15,13,70,5455,1381,362,1019,362,0,362,1019,275,114,8,19,15,437,151,14,875
229410,06037229410,542426,0,3932,18774.6,0.209431858,0.2094319,0.2094319,0,3932,1184,423,0,3,0,1354,968,3932,511,44,423,0,3,0,15,26,3421,835,176,659,176,11,165,659,186,139,0,0,0,153,181,0,496
229420,06037229420,584157,0,4320,19153.67,0.225544288,0.2255443,0.2255443,0,4320,949,352,39,7,0,2350,623,4320,386,18,352,0,7,0,9,0,3934,1031,312,719,312,0,312,719,140,74,0,7,0,356,142,18,620
231100,06037231100,894059,0,3809,11034.24,0.345198124,0.3451981,0.3451981,0,3809,1245,674,41,53,9,1376,411,3809,1104,390,568,0,53,9,0,84,2705,687,67,620,67,0,67,620,193,60,16,6,0,259,86,29,524
231210,06037231210,320683,0,4279,34559.23,0.123816404,0.1238164,0.1238164,0,4279,1353,978,29,71,81,1392,375,4279,1487,290,968,0,71,81,0,77,2792,1184,89,1095,89,11,78,1095,289,372,9,12,32,275,106,71,593
231220,06037231220,965178,0,4353,11680.97,0.372657325,0.3726573,0.3726573,0,4353,740,889,22,462,0,1623,617,4353,1553,89,871,0,462,0,13,118,2800,1393,114,1279,114,0,114,1279,136,337,11,223,0,325,247,28,627
231301,06037231301,233928,0,2479,27446.82,0.09032011,0.09032011,0.09032011,0,2479,1030,214,18,52,0,665,500,2479,706,268,214,0,52,0,0,172,1773,788,263,525,263,8,255,525,146,89,0,0,0,180,110,27,350
231302,06037231302,423524,0,3117,19061.48,0.163523538,0.1635235,0.1635235,0,3117,567,769,168,48,0,922,643,3117,844,152,644,0,48,0,0,0,2273,820,334,486,334,76,258,486,55,139,27,20,0,105,140,0,354
231400,06037231400,621035,0,5195,21665.43,0.239782964,0.239783,0.239783,0,5195,1329,940,1,96,44,2076,709,5195,1294,140,930,0,96,15,37,76,3901,1517,509,1008,509,19,490,1008,210,277,0,0,0,378,143,45,641
231500,06037231500,919207,0,5135,14468.55,0.354907822,0.3549078,0.3549078,0,5135,1004,1664,97,414,0,1416,540,5135,2278,45,1634,0,414,0,152,33,2857,1486,975,511,975,0,975,511,82,141,0,48,0,174,66,0,322
231601,06037231601,319388,0,2448,19851.37,0.123316401,0.1233164,0.1233164,0,2448,544,533,96,0,0,1028,247,2448,693,58,502,5,0,0,21,107,1755,738,261,477,261,0,261,477,104,186,22,0,0,103,62,10,241
231602,06037231602,315013,0,2048,16838.34,0.121627204,0.1216272,0.1216272,0,2048,541,374,55,12,0,863,203,2048,611,109,374,0,12,0,40,76,1437,630,275,355,275,37,238,355,82,96,0,0,0,128,49,4,232
231603,06037231603,320263,0,2788,22546.74,0.123654241,0.1236542,0.1236542,0,2788,594,553,243,47,0,1270,81,2788,698,41,545,0,47,0,10,55,2090,745,144,601,144,0,144,601,144,118,31,17,0,291,0,0,466
231710,06037231710,323785,0,4303,34420.12,0.125014093,0.1250141,0.1250141,0,4303,1274,572,33,9,0,1899,516,4303,595,31,549,6,9,0,0,0,3708,1171,81,1090,81,0,81,1090,301,245,14,0,0,414,116,9,830
231720,06037231720,472239,0,5257,28831.94,0.182332505,0.1823325,0.1823325,0,5257,1737,262,26,113,0,2262,857,5257,531,102,262,0,113,0,0,54,4726,1464,313,1151,313,46,267,1151,349,171,5,64,0,324,238,32,884
231800,06037231800,520258,0,5258,26175.78,0.200872745,0.2008727,0.2008727,0,5258,1522,271,49,0,0,2688,728,5258,422,26,271,0,0,0,21,104,4836,1431,185,1246,185,0,185,1246,296,67,24,0,0,693,166,0,1143
231901,06037231901,244763,0,2867,30337.49,0.094503527,0.09450353,0.09450353,0,2867,893,343,87,2,0,1325,217,2867,357,3,343,0,2,0,0,9,2510,737,252,485,252,0,252,485,65,155,0,0,0,223,42,0,330
231902,06037231902,324078,0,3255,26013.52,0.125127221,0.1251272,0.1251272,0,3255,1510,326,144,0,0,949,326,3255,278,0,263,0,0,0,0,15,2977,790,227,563,227,0,227,563,237,84,36,0,0,148,58,0,479
232110,06037232110,380033,0,3378,23021.63,0.146731568,0.1467316,0.1467316,0,3378,969,590,8,21,0,1063,727,3378,570,17,489,0,21,0,0,43,2808,824,207,617,207,6,201,617,210,131,8,7,0,169,92,0,474
232120,06037232120,521876,0,5308,26342.76,0.201497459,0.2014975,0.2014975,0,5308,1446,1155,0,142,0,2050,515,5308,1360,31,1155,0,126,0,0,48,3948,1469,325,1144,325,0,325,1144,261,358,0,7,0,409,109,15,724
232200,06037232200,522951,0,3638,18017.7,0.201912519,0.2019125,0.2019125,0,3638,821,797,0,79,0,1278,663,3638,1092,78,797,0,79,0,0,138,2546,861,396,465,396,0,396,465,114,107,0,4,0,72,168,0,311
232300,06037232300,628761,0,4992,20563.01,0.24276599,0.242766,0.242766,0,4992,1412,1250,3,1,10,1953,363,4992,1489,107,1161,0,1,10,11,199,3503,1198,684,514,684,3,681,514,126,129,0,0,0,214,45,0,360
232401,06037232401,569689,0,3968,18039.79,0.219958162,0.2199582,0.2199582,0,3968,855,1116,0,29,28,1393,547,3968,1620,208,1116,0,29,28,180,59,2348,1104,501,603,501,23,478,603,34,239,0,12,0,208,110,16,283
