Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A10035_001,SE_A10035_002,SE_A10035_003,SE_A10035_004,SE_A10035_005,SE_A10035_006,SE_A10035_007,SE_A10035_008,SE_A10035_009,SE_A10035_010,PCT_SE_A10035_002,PCT_SE_A10035_003,PCT_SE_A10035_004,PCT_SE_A10035_005,PCT_SE_A10035_006,PCT_SE_A10035_007,PCT_SE_A10035_008,PCT_SE_A10035_009,PCT_SE_A10035_010
"06037212102","Census Tract 2121.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"212102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2121.02",,,,30,0,9,0,0,0,10,0,0,11,0,30,0,0,0,33.33,0,0,36.67
"06037212202","Census Tract 2122.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"212202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2122.02",,,,69,0,0,0,0,0,0,50,11,8,0,0,0,0,0,0,72.46,15.94,11.59
"06037212203","Census Tract 2122.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"212203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2122.03",,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
"06037212204","Census Tract 2122.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"212204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2122.04",,,,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,100
"06037212303","Census Tract 2123.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"212303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2123.03",,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
"06037212304","Census Tract 2123.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"212304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2123.04",,,,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,100,0,0
"06037212305","Census Tract 2123.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"212305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2123.05",,,,24,6,0,0,0,0,0,18,0,0,25,0,0,0,0,0,75,0,0
"06037212306","Census Tract 2123.06, Los Angeles County, California","ca","140","00",,,,"06","037",,,"212306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2123.06",,,,53,0,0,0,0,0,26,27,0,0,0,0,0,0,0,49.06,50.94,0,0
"06037212410","Census Tract 2124.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"212410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2124.10",,,,52,0,0,0,0,0,0,36,16,0,0,0,0,0,0,0,69.23,30.77,0
"06037212420","Census Tract 2124.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"212420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2124.20",,,,24,9,0,0,0,0,0,0,8,7,37.5,0,0,0,0,0,0,33.33,29.17
"06037212501","Census Tract 2125.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"212501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2125.01",,,,35,0,0,0,0,0,0,29,0,6,0,0,0,0,0,0,82.86,0,17.14
"06037212502","Census Tract 2125.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"212502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2125.02",,,,46,5,0,0,0,0,0,0,7,34,10.87,0,0,0,0,0,0,15.22,73.91
"06037212610","Census Tract 2126.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"212610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2126.10",,,,364,0,0,0,11,0,22,128,53,150,0,0,0,3.02,0,6.04,35.16,14.56,41.21
"06037212620","Census Tract 2126.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"212620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 2126.20",,,,106,0,0,0,0,0,0,9,57,40,0,0,0,0,0,0,8.49,53.77,37.74
